Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Data Science,Interactive Data Visualization with R Shiny,2021-08-14,Coding,R,,,Yes,Nathaniel Whittingham,Udemy,5.5,20,25.5,United States
Information technology,100 days of Code: The complete Python Pro Bootcamp,2021-08-07,Coding,Python,,,Yes,Dr. Angela Yu,Udemy,63.5,100,163.5,United Kingdown
Business,Information Security & Privacy Training Course,2021-08-02,Concepts,Concepts,,,Yes,,Johnson&Johnson,1,0,1,United Kingdown
Information technology,Containers,2021-07-30,Cloud computing,Containers,,,Yes,Bret Fisher,Udemy,19.5,30,49.5,United States
Information technology,UI UX Web Design Hybridwith HTML CSS Javascript and Bootstrap,2021-05-30,Web Development,UX/UI,,,Yes,Hossein Boroji,Udemy,25,40,65,Canada
Data Science,Computer Vision Yolo Custom Object Detection with Colab GPU,2021-05-22,Coding,Python,,,Yes,Abhilash Nelson,,4,10,14,United States
Information technology,AWS Cloud Formation Masterclass,2021-04-18,Cloud computing,AWS,,,Yes,Stephane Maarek,Udemy,3.5,4,7.5,United States
Data Science,Complete Deep Learning with Keras and Others,2021-03-06,Coding,Python,,,Yes,Minerva Singh,Udemy,8,12,20,United Kingdown
Data Science,Complete Machine Learning and Deep Learning with H20,2021-03-03,Coding,R,,,Yes,Minerva Singh,Udemy,4.5,4.5,9,United Kingdown
Information technology,Complete 2021 Web Development Bootcamp,2021-01-05,Coding,Python,,,Yes,Dr. Angela Yu,Udemy,55,55,110,United Kingdown
Information technology,Rest API with FLASK and Python,2021-01-01,Coding,Python,,,Yes,Jose Salvatierra,Udemy,17,17,34,United States
Information technology,Build a Web Application with Python Flask and MLP,2021-01-01,Coding,Python,,,Yes,Manuel Amunateguy,Udemy,55,55,110,United Kingdown
Information technology,AWS Associate Developer Associate 2020,2020-01-12,Cloud computing,AWS,,,Yes,Stephane Maarek,Udemy,29.5,25,54.5,United States
Information technology,Ultimate AWS Certified Solution Architect 2020,2020-01-02,Cloud computing,AWS,,,Yes,Stephane Maarek,Udemy,9,18,27,United Kingdown
Data Science,Ultimate AWS Machine Learning Specialty 2020,2020-01-01,Cloud computing,AWS,,,Yes,Stephane Maarek & Frank Kane,Udemy,9,18,27,United States
Business,EU Privacy Law & AWS,2019-01-01,Data Management,Concepts,,,Yes,,Udemy,1.5,0,1.5,United Kingdown
Business,The EU GDPR  An Introduction,2019-01-01,Data Management,Concepts,,,Yes,Daisi Service,Udemy,1,0,1,United Kingdown
Business,GDPR Implementation,2019-01-01,Data Management,Concepts,,,Yes,Emil Reisser,Udemy,1,0,1,United Kingdown
Data Science,Statistics Foundation 2,2018-12-03,Statistics,Concepts,,,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Data Science,Statistics Foundation 1,2018-11-03,Statistics,Concepts,,,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Information technology,Linux  Shell Scripst: how to automate command line,2018-10-04,Operational Systems,Linux,,,Yes,Jason Cannon,Linkedin,5.5,11,16.5,United States
Information technology,Learn Salesforce in easy  steps and get certified,2018-08-31,CRM,Salesforce,,,Yes,Samata Shag,Udemy,4,4,8,United Kingdown
Information technology,Salesforce Sales Cloud Consultant Cerification Course,2018-08-29,CRM,Salesforce,,,Yes,Mike Wheeler,Udemy,11,11,22,United Kingdown
Information technology,Business Manager`s complete guide to Salesforce CRM,2018-08-26,CRM,Salesforce,,,Yes,John Wiley,Udemy,10,10,20,United Kingdown
Data Science,Colors for Data Science AZ,2018-07-02,Visualization,R,,,Yes,Kiril Eremenko & Patricia Jileniewikz,Udemy,4,8,12,United Kingdown
Data Science,Learn Node Red Programming in 48 hours,2018-07-01,Data Management,Node Red,,,Yes,Venkatesh Varadachari,Udemy,48,48,96,United Kingdown
Data Science,Deep Learning Regression with R,2018-05-01,Data Management,R,,,Yes,Diego Rodrigues,Udemy,4,8,12,United Kingdown
Data Science,Apache NIFI,2018-05-01,Data Management,NIFI,,,Yes,Stephane Maarek,Udemy,4,8,12,United Kingdown
Information technology,IOT Fundamentals,2018-03-25,IOT,Concepts,,,Yes,,Linkedin,0.5,0,0.5,United Kingdown
Data Science,Apache Spark Essential Training  Data Engineering,2018-03-21,Coding,Spark,,,Yes,Kumaran Ponnambalam,Linkedin,1.4,2.8,4.2,United Kingdown
Data Science,Apache Essentials,2018-03-20,Coding,Spark,,,Yes,Ben Sullins,Linkedin,1.2,2.4,3.6,United Kingdown
Information technology,Microsoft Dynamics 365 mini workshop,2018-03-20,CRM,Microsoft Dynamics,,,Yes,Helen Jones,Udemy,1,0,1,United Kingdown
Project Management,Become an Expert in SAP ASAP 8 Methodology,2018-03-15,ERP,Concepts,,,Yes,Success Learner,Udemy,1.5,0,1.5,United Kingdown
Data Science,Statistics Foundation 3,2018-03-14,Statistics,Concepts,,,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Data Science,Blockchain AZ,2018-03-04,Blockchain,Python,,,Yes,Kiril Eremenko & Hadelin de Ponteves,Super Data Science,15,26,41,United Kingdown
Data Science,Bayesian Computational Analysis,2018-03-04,Coding,R,,,Yes,Geoffrey Hubona Ph.D.,Udemy,13,26,39,United States
Data Science,Apache Kafka for Beginners,2018-02-01,Data Management,Kafka,,,Yes,Stephane Maarek,Udemy,4,8,12,United Kingdown
Data Science,R Shiny Flex Dashboard Interactive Data Visualization,2018-01-12,Coding,R,,,Yes,Johnathan Ng,Udemy,4,8,12,United Kingdown
Data Science,Cassandra Data Modelling Essential training,2018-01-08,Data Management,Apache Cassandra,,,Yes,Dan Sullivan,Linkedin,3,0,3,United Kingdown
Data Science,Blockchain Beyond the Basics,2018-01-08,Blockchain,Concepts,,,Yes,Jonathan Reichental,Linkedin,1.5,0,1.5,United Kingdown
Data Science,Data Science foundation Fundamentals,2018-01-07,Data Management,Concepts,,,Yes,Barton Poulson,Linkedin,4,0,4,United Kingdown
Data Science,Learning Data Governance,2018-01-07,Data Management,Concepts,,,Yes,Jonathan Reichental,Linkedin,1,0,1,United Kingdown
Data Science,Descriptive Healthcare Analitics with R,2018-01-07,Coding,R,,,Yes,Monica Wari,Linkedin,6,0,6,United Kingdown
Data Science,Learning the R Tidyverse,2018-01-07,Coding,R,,,Yes,Martin John Hadley,Linkedin,4,0,4,United Kingdown
Data Science,Spark for Machine Learning & AI,2018-01-07,Coding,Spark,,,Yes,Dan Sullivan,Linkedin,4,0,4,United Kingdown
Data Science,AWS Machine Learning AI SageMaker with python,2018-01-07,Cloud computing,AWS,,,Yes,Chandra Lingam,Udemy,6,3,9,United Kingdown
Information technology,SAP HANNA Implementation Modeling and Reporting,2018-01-07,ERP,SAP,,,Yes,Junaid Ahmed,Udemy,25,0,25,United States
Information technology,Introduction to SAP Business One,2018-01-07,ERP,SAP,,,Yes,Sara Araby,Udemy,7,0,7,United States
Business,Strategical Thinking,2018-01-07,Entrepeneurship,Concepts,,,Yes,Dorie Clark,Linkedin,3,0,3,United Kingdown
Information technology,Investiment Portfolio Analysis,2018-01-06,Quant Finances,R,,,Yes,Diego Rodrigues,Udemy,6.5,12,18.5,United Kingdown
Business,Top 10 Marketing Challenges,2018-01-06,Marketing,Concepts,,,Yes,Drew Boyd,Linkedin,3,0,3,United Kingdown
Data Science,Learn by Example Statistics and Data Science in R,2018-01-05,Statistics,R,,,Yes,Janani Vitthal,Udemy,9,3,12,United Kingdown
Information technology,Amazon AWS Associate Solution Architect ,2018-01-05,Cloud computing,AWS,,,Yes,Ryan Kroonenberg,Udemy,21,10,31,United Kingdown
Information technology,Linux,2018-01-04,Operational Systems,Linux,,,Yes,Jason Cannon,Linkedin,12.5,25,37.5,United States
