Area,Course,Date,Skills,Technology,Group,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Data Science,Statistics Foundation 2,03/12/2018,Statistics,Concepts,,,,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Data Science,Statistics Foundation 1,03/11/2018,Statistics,Concepts,,,,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Information technology,Linux  Shell Scripst: how to automate command line,04/10/2018,Operational Systems,Linux,Infrastructure,,,Yes,Jason Cannon,Linkedin,5.5,11,16.5,United States
Information technology,Learn Salesforce in easy  steps and get certified,31/08/2018,CRM,Salesforce,Packages,,,Yes,Samata Shag,Udemy,4,4,8,United Kingdown
Information technology,Salesforce Sales Cloud Consultant Cerification Course,29/08/2018,CRM,Salesforce,Packages,,,Yes,Mike Wheeler,Udemy,11,11,22,United Kingdown
Information technology,Business Manager`s complete guide to Salesforce CRM,26/08/2018,CRM,Salesforce,Packages,,,Yes,John Wiley,Udemy,10,10,20,United Kingdown
Data Science,Colors for Data Science AZ,02/07/2018,Visualization,R,Software,,,Yes,Kiril Eremenko & Patricia Jileniewikz,Udemy,4,8,12,United Kingdown
Data Science,Learn Node Red Programming in 48 hours,01/07/2018,Data Management,Node Red,Software,,,Yes,Venkatesh Varadachari,Udemy,48,48,96,United Kingdown
Data Science,Apache NIFI,01/05/2018,Data Management,NIFI,Software,,,Yes,Stephane Maarek,Udemy,4,8,12,United Kingdown
Data Science,Deep Learning Regression with R,01/05/2018,Coding,R,Software,,,Yes,Diego Rodrigues,Udemy,4,8,12,United Kingdown
Information technology,IOT Fundamentals,25/03/2018,IOT,Concepts,Software,,,Yes,,Linkedin,0.5,0,0.5,United Kingdown
Data Science,Apache Spark Essential Training  Data Engineering,21/03/2018,Coding,Spark,Software,,,Yes,Kumaran Ponnambalam,Linkedin,1.4,2.8,4.2,United Kingdown
Data Science,Apache Essentials,20/03/2018,Coding,Spark,Software,,,Yes,Ben Sullins,Linkedin,1.2,2.4,3.6,United Kingdown
Information technology,Microsoft Dynamics 365 mini workshop,20/03/2018,CRM,Microsoft Dynamics,Packages,,,Yes,Helen Jones,Udemy,1,0,1,United Kingdown
Project Management,Become an Expert in SAP ASAP 8 Methodology,15/03/2018,ERP,Concepts,,,,Yes,Success Learner,Udemy,1.5,0,1.5,United Kingdown
Data Science,Statistics Foundation 3,14/03/2018,Statistics,Concepts,,,,Yes,Eddie Davila,Linkedin,2,4,6,United Kingdown
Information technology,Blockchain AZ,04/03/2018,Blockchain,Python,Software,,6,Yes,Kiril Eremenko & Hadelin de Ponteves,Super Data Science,15,26,41,United Kingdown
Data Science,Bayesian Computational Analysis,04/03/2018,Coding,R,Software,,,Yes,Geoffrey Hubona Ph.D.,Udemy,13,26,39,United States
Data Science,Apache Kafka for Beginners,01/02/2018,Data Management,Kafka,Software,,,Yes,Stephane Maarek,Udemy,4,8,12,United Kingdown
Data Science,R Shiny Flex Dashboard Interactive Data Visualization,12/01/2018,Coding,R,Software,,,Yes,Johnathan Ng,Udemy,4,8,12,United Kingdown
Data Science,Blockchain Beyond the Basics,08/01/2018,Blockchain,Concepts,Software,,,Yes,Jonathan Reichental,Linkedin,1.5,0,1.5,United Kingdown
Data Science,Cassandra Data Modelling Essential training,08/01/2018,Data Management,Apache Cassandra,Software,,,Yes,Dan Sullivan,Linkedin,3,0,3,United Kingdown
Business,Strategical Thinking,07/01/2018,Entrepeneurship,Concepts,,,,Yes,Dorie Clark,Linkedin,3,0,3,United Kingdown
Data Science,AWS Machine Learning AI SageMaker with python,07/01/2018,Cloud computing,AWS,Infrastructure,,1,Yes,Chandra Lingam,Udemy,6,3,9,United Kingdown
